week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
2.1,1,7.18,1,Blue,Top,Letme,Royal Never Give Up,Cho'gath,Gragas,Xayah,Alistar,Taliyah,Lucian,38.75,1,3,0,6,13,3,0,0,0,0,0,0,0,1.7312166666666666,0.07741935483870968,0,0.41290322580645167,0,11.984816666666667,1,3,1,0,0,0,0,1,0,0,1,NA,1,17.664066666666667,1,1,11,3,1,32.74796666666666,1,0,20167,520.4387096774194,0.2395642773989689,0.20131180238579263,21,0.5419354838709678,0.1693548387096774,2,0.05161290322580645,4,4,NA,NA,15495,270.88516129032257,14200,0.16628527841342486,328,11,2,3,8.748387096774193,3114,3225,-111,4986,4903,83,4493,4817,-324,80,86,-6,138,135,3
2.1,1,7.18,2,Blue,Jungle,Mlxg,Royal Never Give Up,Rek'Sai,Gragas,Xayah,Alistar,Taliyah,Lucian,38.75,1,4,2,5,13,3,0,0,0,0,0,0,1,1.7312166666666666,0.1032258064516129,0.05161290322580645,0.41290322580645167,0,11.984816666666667,1,3,0,2,0,0,0,0,0,0,1,NA,1,17.664066666666667,1,1,11,3,1,32.74796666666666,1,0,16362,422.2451612903226,0.194364591005203,0.1755360362088144,25,0.6451612903225806,0.20161290322580644,8,0.2064516129032258,9,10,NA,NA,14151,236.20129032258063,13125,0.16049382716049382,20,164,100,17,4.748387096774193,2944,3560,-616,5052,5266,-214,3378,3686,-308,59,46,13,90,80,10
2.1,1,7.18,3,Blue,Middle,Xiaohu,Royal Never Give Up,Ryze,Gragas,Xayah,Alistar,Taliyah,Lucian,38.75,1,3,0,8,13,3,0,0,0,0,0,0,0,1.7312166666666666,0.07741935483870968,0.025806451612903226,0.41290322580645167,0,11.984816666666667,1,3,0,0,0,0,0,0,0,0,1,NA,1,17.664066666666667,1,1,11,3,1,32.74796666666666,1,0,19148,494.14193548387095,0.227459551923214,0.22196693644279084,18,0.4645161290322581,0.14516129032258066,14,0.36129032258064514,10,10,NA,NA,16572,298.67870967741936,15300,0.13538032100488487,348,14,12,2,9.341935483870968,3113,3623,-510,5275,5322,-47,4478,5053,-575,84,94,-10,140,142,-2
2.1,1,7.18,4,Blue,ADC,Uzi,Royal Never Give Up,Kog'Maw,Gragas,Xayah,Alistar,Taliyah,Lucian,38.75,1,3,1,4,13,3,0,0,0,0,0,0,0,1.7312166666666666,0.07741935483870968,0,0.41290322580645167,0,11.984816666666667,1,3,0,1,0,0,0,0,0,0,1,NA,1,17.664066666666667,1,1,11,3,1,32.74796666666666,1,0,25549,659.3290322580646,0.30349718467130743,0.24106862030608722,15,0.3870967741935484,0.12096774193548387,13,0.33548387096774196,2,2,NA,NA,17568,324.38193548387096,16150,0.1162981162981163,361,40,15,7,10.348387096774193,3035,3205,-170,4884,5105,-221,3192,3336,-144,77,82,-5,133,139,-6
2.1,1,7.18,5,Blue,Support,Ming,Royal Never Give Up,Janna,Gragas,Xayah,Alistar,Taliyah,Lucian,38.75,1,0,0,11,13,3,0,0,0,0,0,0,0,1.7312166666666666,0,0,0.41290322580645167,0,11.984816666666667,1,3,0,0,0,0,0,0,0,0,1,NA,1,17.664066666666667,1,1,11,3,1,32.74796666666666,1,0,2956,76.28387096774193,0.03511439500130669,0.1601166046565149,45,1.1612903225806452,0.3629032258064516,6,0.15483870967741936,9,10,NA,NA,13347,215.45290322580644,11850,0.2491103202846975,10,0,0,0,0.25806451612903225,2279,2307,-28,3528,3403,125,2742,2795,-53,1,15,-14,3,23,-20
2.1,1,7.18,6,Red,Top,Thaldrin,Fenerbahce Esports,Maokai,Kalista,Jarvan IV,Sejuani,Shen,Galio,38.75,0,0,4,0,3,13,0,0,0,0,0,0,0,1.7312166666666666,0,0.07741935483870968,0.41290322580645167,0,11.984816666666667,3,1,0,1,0,0,0,0,0,0,0,NA,0,17.664066666666667,0,0,3,11,0,32.74796666666666,0,1,16785,433.16129032258067,0.22584464686966,0.18288804227602312,20,0.5161290322580645,0.1724137931034483,4,0.1032258064516129,2,2,NA,NA,12439,192.02064516129033,12020,-0.16628527841342486,312,0,0,0,8.051612903225806,3225,3114,111,4903,4986,-83,4817,4493,324,86,80,6,135,138,-3
2.1,1,7.18,7,Red,Jungle,Crash,Fenerbahce Esports,Nidalee,Kalista,Jarvan IV,Sejuani,Shen,Galio,38.75,0,2,3,1,3,13,0,0,0,0,1,0,0,1.7312166666666666,0.05161290322580645,0.1032258064516129,0.41290322580645167,1,11.984816666666667,3,1,2,0,1,0,0,1,0,0,0,NA,0,17.664066666666667,0,0,3,11,0,32.74796666666666,0,1,9474,244.49032258064517,0.12747406520364366,0.18389578468723117,25,0.6451612903225806,0.21551724137931033,22,0.567741935483871,6,6,NA,NA,12480,193.07870967741937,11175,-0.16049382716049382,51,168,105,1,5.651612903225807,3560,2944,616,5266,5052,214,3686,3378,308,46,59,-13,80,90,-10
2.1,1,7.18,8,Red,Middle,Frozen,Fenerbahce Esports,Syndra,Kalista,Jarvan IV,Sejuani,Shen,Galio,38.75,0,1,3,2,3,13,0,0,0,0,0,1,0,1.7312166666666666,0.025806451612903226,0.07741935483870968,0.41290322580645167,0,11.984816666666667,3,1,0,0,0,0,0,0,0,0,0,NA,0,17.664066666666667,0,0,3,11,0,32.74796666666666,0,1,20222,521.858064516129,0.2720899880249189,0.24445864569251566,11,0.2838709677419355,0.09482758620689655,2,0.05161290322580645,4,4,NA,NA,14944,256.66580645161287,13360,-0.13538032100488487,384,16,8,0,10.32258064516129,3623,3113,510,5322,5275,47,5053,4478,575,94,84,10,142,140,2
2.1,1,7.18,9,Red,ADC,Padden,Fenerbahce Esports,Tristana,Kalista,Jarvan IV,Sejuani,Shen,Galio,38.75,0,0,1,2,3,13,0,0,0,0,0,1,0,1.7312166666666666,0,0.07741935483870968,0.41290322580645167,0,11.984816666666667,3,1,1,0,0,0,0,1,0,0,0,NA,0,17.664066666666667,0,0,3,11,0,32.74796666666666,0,1,25393,655.3032258064516,0.3416665545404394,0.269627626889517,11,0.2838709677419355,0.09482758620689655,12,0.3096774193548387,1,1,NA,NA,15968,283.0916129032258,14375,-0.1162981162981163,401,12,11,0,10.658064516129032,3205,3035,170,5105,4884,221,3336,3192,144,82,77,5,139,133,6
2.1,1,7.18,10,Red,Support,Japone,Fenerbahce Esports,Lulu,Kalista,Jarvan IV,Sejuani,Shen,Galio,38.75,0,0,2,2,3,13,0,0,0,0,0,1,0,1.7312166666666666,0,0,0.41290322580645167,0,11.984816666666667,3,1,0,0,0,0,0,0,0,0,0,NA,0,17.664066666666667,0,0,3,11,0,32.74796666666666,0,1,2447,63.148387096774194,0.03292474536133798,0.11912990045471304,49,1.264516129032258,0.4224137931034483,12,0.3096774193548387,8,9,NA,NA,9845,125.07870967741935,9225,-0.2491103202846975,49,0,0,0,1.264516129032258,2307,2279,28,3403,3528,-125,2795,2742,53,15,1,14,23,3,20
