week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
G,1,8.19,1,Blue,Top,Smeb,KT Rolster,Aatrox,Sion,Tahm Kench,Olaf,Skarner,LeBlanc,32.88333333333333,1,1,1,7,14,4,0,0,0,0,0,0,0,4.983366666666667,0.030410542321338066,0.06082108464267613,0.5473897617840852,0,10.057883333333333,1,3,0,0,0,0,0,0,0,0,1,NA,1,17.201283333333333,1,1,10,2,1,23.66795,1,0,10912,331.83983781044094,0.25049354942380975,0.20970993117010814,13,0.39533705017739484,0.10077519379844961,6,0.1824632539280284,3,4,NA,NA,13514,280.18692346680183,11750,0.07048458149779736,309,13,7,0,9.792194627470856,3423,3243,180,5425,4995,430,4535,4769,-234,87,84,3,150,135,15
G,1,8.19,2,Blue,Jungle,Score,KT Rolster,Kindred,Sion,Tahm Kench,Olaf,Skarner,LeBlanc,32.88333333333333,1,1,1,8,14,4,0,0,0,0,0,0,0,4.983366666666667,0.030410542321338066,0,0.5473897617840852,0,10.057883333333333,1,3,0,3,0,0,0,0,0,0,1,NA,1,17.201283333333333,1,1,10,2,1,23.66795,1,0,4993,151.83983781044097,0.11461824525962995,0.16125132015004187,12,0.3649265078560568,0.09302325581395349,25,0.7602635580334516,9,9,NA,NA,11385,215.44287886467308,9850,0.15772179627601315,26,154,106,10,5.473897617840851,3096,2858,238,4677,4387,290,3675,2929,746,64,44,20,95,81,14
G,1,8.19,3,Blue,Middle,Ucal,KT Rolster,Syndra,Sion,Tahm Kench,Olaf,Skarner,LeBlanc,32.88333333333333,1,7,0,5,14,4,0,0,0,0,0,0,0,4.983366666666667,0.21287379624936645,0,0.5473897617840852,0,10.057883333333333,1,3,0,0,0,0,0,0,0,0,1,NA,1,17.201283333333333,1,1,10,2,1,23.66795,1,0,12874,391.50532184490623,0.295532803819843,0.2851860956334899,23,0.6994424733907755,0.17829457364341086,7,0.21287379624936645,12,13,NA,NA,16830,381.0282818043588,14725,0.17744916820702403,359,25,20,1,11.677648251393816,3703,2989,714,5958,4907,1051,5149,4146,1003,94,72,22,156,132,24
G,1,8.19,4,Blue,ADC,Deft,KT Rolster,Xayah,Sion,Tahm Kench,Olaf,Skarner,LeBlanc,32.88333333333333,1,4,1,4,14,4,0,0,0,0,0,0,1,4.983366666666667,0.12164216928535226,0.030410542321338066,0.5473897617840852,0,10.057883333333333,1,3,1,0,0,0,0,1,0,0,1,NA,1,17.201283333333333,1,1,10,2,1,23.66795,1,0,11459,348.4744044602129,0.26305036499701573,0.25138570231982227,15,0.45615813482007095,0.11627906976744186,11,0.3345159655347187,5,5,NA,NA,15345,335.8686264571718,12775,0.007858546168958742,331,11,4,0,10.400405473897617,3336,3442,-106,4960,5239,-279,3188,3291,-103,91,78,13,137,135,2
G,1,8.19,5,Blue,Support,Mata,KT Rolster,Thresh,Sion,Tahm Kench,Olaf,Skarner,LeBlanc,32.88333333333333,1,1,1,11,14,4,0,0,0,0,0,0,0,4.983366666666667,0.030410542321338066,0.030410542321338066,0.5473897617840852,0,10.057883333333333,1,3,0,0,0,0,0,0,0,0,1,NA,1,17.201283333333333,1,1,10,2,1,23.66795,1,0,3324,101.08464267612773,0.07630503649970158,0.09246695072653774,66,2.0070957932083124,0.5116279069767442,17,0.516979219462747,28,30,NA,NA,8363,123.54221996958944,7050,-0.07179487179487179,43,4,4,0,1.429295489102889,1991,2725,-734,2882,3781,-899,2509,3108,-599,13,3,10,19,7,12
G,1,8.19,6,Red,Top,Impact,Team Liquid,Urgot,Irelia,Alistar,Akali,Taliyah,Camille,32.88333333333333,0,2,5,0,4,14,0,0,0,0,0,0,0,4.983366666666667,0.06082108464267613,0.030410542321338066,0.5473897617840852,0,10.057883333333333,3,1,0,0,0,0,0,0,0,0,0,NA,0,17.201283333333333,0,0,2,10,0,23.66795,0,1,13462,409.38672072985304,0.3360543198781797,0.21970810421912737,15,0.45615813482007095,0.10948905109489052,5,0.15205271160669032,4,4,NA,NA,11141,208.0227065382666,10950,-0.07048458149779736,259,9,5,0,8.150025342118601,3243,3423,-180,4995,5425,-430,4769,4535,234,84,87,-3,135,150,-15
G,1,8.19,7,Red,Jungle,Xmithie,Team Liquid,Gragas,Irelia,Alistar,Akali,Taliyah,Camille,32.88333333333333,0,0,3,2,4,14,0,0,0,0,0,1,0,4.983366666666667,0,0.030410542321338066,0.5473897617840852,1,10.057883333333333,3,1,3,0,2,1,0,0,0,0,0,NA,0,17.201283333333333,0,0,2,10,0,23.66795,0,1,6960,211.65737455651293,0.17374372800119822,0.1397964951950254,19,0.5778003041054233,0.1386861313868613,9,0.2736948808920426,14,16,NA,NA,8653,132.36127724277748,8410,-0.15772179627601315,19,137,102,0,4.744044602128739,2858,3096,-238,4387,4677,-290,2929,3675,-746,44,64,-20,81,95,-14
G,1,8.19,8,Red,Middle,Pobelter,Team Liquid,Ryze,Irelia,Alistar,Akali,Taliyah,Camille,32.88333333333333,0,0,2,1,4,14,0,0,0,0,0,0,0,4.983366666666667,0,0.21287379624936645,0.5473897617840852,0,10.057883333333333,3,1,0,0,0,0,0,0,0,0,0,NA,0,17.201283333333333,0,0,2,10,0,23.66795,0,1,6211,188.8798783578307,0.155046306697621,0.2536576905288041,22,0.6690319310694374,0.16058394160583941,10,0.30410542321338063,11,11,NA,NA,12198,240.16664977192093,12325,-0.17744916820702403,324,21,19,0,10.491637100861633,2989,3703,-714,4907,5958,-1051,4146,5149,-1003,72,94,-22,132,156,-24
G,1,8.19,9,Red,ADC,Doublelift,Team Liquid,Kai'Sa,Irelia,Alistar,Akali,Taliyah,Camille,32.88333333333333,0,1,1,2,4,14,0,0,0,0,0,1,0,4.983366666666667,0.030410542321338066,0.12164216928535226,0.5473897617840852,0,10.057883333333333,3,1,0,1,0,0,0,0,0,0,0,NA,0,17.201283333333333,0,0,2,10,0,23.66795,0,1,11197,340.50684237202233,0.2795127187398587,0.2809265635438614,14,0.4257475924987329,0.10218978102189781,12,0.3649265078560568,5,5,NA,NA,13047,265.98520020273696,12675,-0.007858546168958742,336,28,24,4,11.069437404967056,3442,3336,106,5239,4960,279,3291,3188,103,78,91,-13,135,137,-2
G,1,8.19,10,Red,Support,Olleh,Team Liquid,Rakan,Irelia,Alistar,Akali,Taliyah,Camille,32.88333333333333,0,1,3,2,4,14,0,0,0,0,1,0,0,4.983366666666667,0.030410542321338066,0.030410542321338066,0.5473897617840852,0,10.057883333333333,3,1,0,0,0,0,0,0,0,0,0,NA,0,17.201283333333333,0,0,2,10,0,23.66795,0,1,2229,67.78509883426254,0.055642926683142364,0.10591114651318155,67,2.0375063355296503,0.48905109489051096,13,0.39533705017739484,22,23,NA,NA,7598,100.27815509376585,7575,0.07179487179487179,16,0,0,0,0.48656867714140906,2725,1991,734,3781,2882,899,3108,2509,599,3,13,-10,7,19,-12
G,1,8.19,100,Blue,Team,Team,KT Rolster,NA,Sion,Tahm Kench,Olaf,Skarner,LeBlanc,32.88333333333333,1,14,4,35,14,4,NA,NA,NA,NA,0,0,1,4.983366666666667,0.4257475924987329,0.12164216928535226,0.5473897617840852,0,10.057883333333333,1,3,1,3,0,0,0,1,0,0,1,18.27658333333333,1,17.201283333333333,1,1,10,2,1,23.66795,1,0,43562,1324.7440446021287,NA,NA,129,3.9229599594526103,1,66,2.0070957932083124,57,61,0.6721311475409836,0.32894736842105265,65437,1336.0689305625951,56150,0.07799417125410557,1068,207,141,11,38.773441459706035,15549,15257,292,23902,23309,593,19056,18243,813,349,281,68,557,490,67
G,1,8.19,200,Red,Team,Team,Team Liquid,NA,Irelia,Alistar,Akali,Taliyah,Camille,32.88333333333333,0,4,14,7,4,14,NA,NA,NA,NA,1,1,0,4.983366666666667,0.12164216928535226,0.4257475924987329,0.5473897617840852,1,10.057883333333333,3,1,3,1,2,1,0,0,0,0,0,18.27658333333333,0,17.201283333333333,0,0,2,10,0,23.66795,0,1,40059,1218.2159148504816,NA,NA,137,4.166244298023315,1,49,1.490116573745565,56,59,0.4838709677419355,0.2835820895522388,52637,946.8139888494678,51935,-0.07799417125410557,954,195,150,4,34.94171312721743,15257,15549,-292,23309,23902,-593,18243,19056,-813,281,349,-68,490,557,-67
G,1,8.19,1,Blue,Top,ray,Edward Gaming,Ornn,Aatrox,Irelia,Tahm Kench,Darius,Sion,41.75,1,1,3,9,18,12,0,0,0,0,0,0,0,4.918116666666666,0.023952095808383235,0.09580838323353294,0.718562874251497,0,12.565433333333333,1,1,0,0,0,0,0,0,0,0,1,NA,1,16.881283333333336,1,0,8,3,1,39.18181666666667,1,0,16857,403.76047904191614,0.18277529600555145,0.18945063275146873,22,0.5269461077844312,0.14666666666666667,6,0.1437125748502994,6,8,NA,NA,14383,215.50179640718565,13880,0.044559013073098876,299,4,0,0,7.25748502994012,3380,3062,318,5174,4773,401,4839,4287,552,85,73,12,138,126,12
G,1,8.19,2,Blue,Jungle,Haro,Edward Gaming,Olaf,Aatrox,Irelia,Tahm Kench,Darius,Sion,41.75,1,6,3,9,18,12,0,0,0,0,0,0,1,4.918116666666666,0.1437125748502994,0.04790419161676647,0.718562874251497,1,12.565433333333333,1,1,1,1,0,0,1,0,0,0,1,NA,1,16.881283333333336,1,0,8,3,1,39.18181666666667,1,0,11095,265.74850299401197,0.12029969206748493,0.16963635215093387,26,0.6227544910179641,0.17333333333333334,18,0.4311377245508982,22,22,NA,NA,13442,192.96287425149703,11400,0.017699115044247787,39,146,102,9,4.431137724550898,3301,3637,-336,4686,5140,-454,3329,3966,-637,45,66,-21,77,94,-17
G,1,8.19,3,Blue,Middle,Scout,Edward Gaming,Syndra,Aatrox,Irelia,Tahm Kench,Darius,Sion,41.75,1,5,2,9,18,12,1,0,0,0,0,0,0,4.918116666666666,0.11976047904191617,0.0718562874251497,0.718562874251497,0,12.565433333333333,1,1,0,0,0,0,0,0,0,0,1,NA,1,16.881283333333336,1,0,8,3,1,39.18181666666667,1,0,23666,566.8502994011976,0.25660320076332566,0.2445136973321261,18,0.4311377245508982,0.12,18,0.4311377245508982,13,14,NA,NA,16998,278.1365269461078,16050,0.19112627986348124,332,38,34,4,8.862275449101796,3738,3717,21,5905,5501,404,5404,4821,583,104,86,18,174,143,31
G,1,8.19,4,Blue,ADC,iBOY,Edward Gaming,Xayah,Aatrox,Irelia,Tahm Kench,Darius,Sion,41.75,1,5,1,8,18,12,1,0,0,0,0,0,0,4.918116666666666,0.11976047904191617,0.04790419161676647,0.718562874251497,0,12.565433333333333,1,1,0,0,0,0,0,0,0,0,1,NA,1,16.881283333333336,1,0,8,3,1,39.18181666666667,1,0,35601,852.7185628742515,0.3860107559526391,0.2933650586426902,19,0.4550898203592814,0.12666666666666668,32,0.7664670658682635,8,8,NA,NA,19318,333.7053892215569,17450,0.049926578560939794,410,47,33,0,10.946107784431138,3464,3650,-186,5502,5402,100,3564,3664,-100,99,94,5,164,147,17
G,1,8.19,5,Blue,Support,meiko,Edward Gaming,Leona,Aatrox,Irelia,Tahm Kench,Darius,Sion,41.75,1,1,3,12,18,12,0,0,0,0,0,0,0,4.918116666666666,0.023952095808383235,0.023952095808383235,0.718562874251497,0,12.565433333333333,1,1,0,0,0,0,0,0,0,0,1,NA,1,16.881283333333336,1,0,8,3,1,39.18181666666667,1,0,5009,119.97604790419162,0.054311055210998826,0.10303425912278115,65,1.5568862275449102,0.43333333333333335,5,0.11976047904191617,20,21,NA,NA,10279,117.20239520958083,9275,0.12,73,0,0,0,1.748502994011976,2033,2463,-430,2972,3401,-429,2762,2481,281,16,2,14,27,10,17
