week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,herald,heraldtime,ft,fttime,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,cssharepost15,csat10,oppcsat10,csdat10,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
2,5,6.18,8,Red,Middle,Crown,Samsung Galaxy,Ryze,Nidalee,Syndra,Jayce,23.7,1,3,0,10,21,5,NA,NA,NA,NA,0,0,3.7072333333333334,0.12658227848101267,0,1.0970464135021099,1,10.08845,2,0,NA,NA,1,8.587983333333334,1,10,0,1,21.558483333333335,1,0,12339,520.632911392405,0.19511076674941888,0.226923485623843,11,0.4641350210970464,0.13253012048192772,2,0.08438818565400844,2,2,NA,NA,11271,342.4016877637131,8250,0.224469160768453,233,9,5,4,10.210970464135022,0.3516483516483517,91,84,7,3578,3258,320,5815,4741,1074,4465,4490,-25
2,5,6.18,9,Red,ADC,Ruler,Samsung Galaxy,Jhin,Nidalee,Syndra,Jayce,23.7,1,7,1,7,21,5,NA,NA,NA,NA,1,0,3.7072333333333334,0.29535864978902954,0.04219409282700422,1.0970464135021099,0,10.08845,2,0,NA,NA,1,8.587983333333334,1,10,0,1,21.558483333333335,1,0,17806,751.3080168776371,0.2815578501288721,0.22597271857854734,11,0.4641350210970464,0.13253012048192772,1,0.04219409282700422,4,4,NA,NA,11237,340.967088607595,8400,0.14696485623003194,167,0,0,0,7.046413502109705,0.17216117216117216,77,61,16,4190,2719,1471,5876,4493,1383,3823,2885,938
2,5,6.18,10,Red,Support,CoreJJ,Samsung Galaxy,Tahm Kench,Nidalee,Syndra,Jayce,23.7,1,2,2,10,21,5,NA,NA,NA,NA,0,0,3.7072333333333334,0.08438818565400844,0.04219409282700422,1.0970464135021099,0,10.08845,2,0,NA,NA,1,8.587983333333334,1,10,0,1,21.558483333333335,1,0,7074,298.4810126582279,0.11185781376006072,0.12720480081430402,33,1.3924050632911393,0.39759036144578314,3,0.12658227848101267,3,4,NA,NA,7705,191.93755274261605,5100,-0.04316546762589928,32,0,0,0,1.350210970464135,0.06227106227106227,12,10,2,2923,2247,676,4053,3311,742,1725,1859,-134
2,5,6.18,100,Blue,Team,Team,Splyce,NA,Rumble,Olaf,Viktor,23.7,0,5,21,11,5,21,NA,NA,NA,NA,0,1,3.7072333333333334,0.2109704641350211,0.8860759493670887,1.0970464135021099,0,10.08845,0,2,NA,NA,0,8.587983333333334,0,0,10,0,21.558483333333335,0,1,37897,1599.029535864979,NA,NA,66,2.7848101265822787,1,20,0.8438818565400844,11,14,0.42857142857142855,0.1774193548387097,33937,766.1012658227849,32793,-0.18805685632588787,544,71,69,2,25.949367088607595,NA,254,301,-47,14176,17347,-3171,21693,26776,-5083,16870,18443,-1573
2,5,6.18,200,Red,Team,Team,Samsung Galaxy,NA,Nidalee,Syndra,Jayce,23.7,1,21,5,40,21,5,NA,NA,NA,NA,1,0,3.7072333333333334,0.8860759493670887,0.2109704641350211,1.0970464135021099,1,10.08845,2,0,NA,NA,1,8.587983333333334,1,10,0,1,21.558483333333335,1,0,63241,2668.396624472574,NA,NA,83,3.5021097046413505,1,16,0.6751054852320675,16,17,0.7692307692307693,0.11320754716981132,51541,1508.8860759493673,39600,0.18805685632588787,645,110,72,38,31.856540084388186,NA,301,254,47,17347,14176,3171,26776,21693,5083,18443,16870,1573
2,6,6.18,1,Blue,Top,Looper,Royal Never Give Up,Poppy,Lee Sin,Jhin,Karma,36.86666666666667,1,5,4,10,22,11,NA,NA,NA,NA,0,0,7.0483,0.13562386980108498,0.027124773960216998,0.895117540687161,0,9.612116666666667,4,0,NA,NA,1,7.760316666666666,0,11,5,1,26.680033333333334,2,0,15370,416.90777576853526,0.16396940375732103,0.19313482683790606,21,0.569620253164557,0.14788732394366197,6,0.162748643761302,4,5,NA,NA,14344,259.7555153707052,12545,-0.020122312093115012,249,0,0,0,6.754068716094032,0.2407108239095315,59,94,-35,2806,3351,-545,4654,4947,-293,4130,4699,-569
2,6,6.18,2,Blue,Jungle,Mlxg,Royal Never Give Up,Elise,Lee Sin,Jhin,Karma,36.86666666666667,1,3,2,12,22,11,NA,NA,NA,NA,0,0,7.0483,0.081374321880651,0.027124773960216998,0.895117540687161,1,9.612116666666667,4,0,NA,NA,1,7.760316666666666,0,11,5,1,26.680033333333334,2,0,14009,379.99095840867994,0.149450057074581,0.1837567260142466,34,0.9222423146473779,0.23943661971830985,29,0.786618444846293,9,9,NA,NA,13879,247.14249547920434,12400,0.0709812108559499,49,90,67,23,3.7703435804701626,0.14054927302100162,28,42,-14,2822,2875,-53,4407,4611,-204,3204,2929,275
2,6,6.18,3,Blue,Middle,xiaohu,Royal Never Give Up,Aurelion Sol,Lee Sin,Jhin,Karma,36.86666666666667,1,4,1,14,22,11,NA,NA,NA,NA,0,0,7.0483,0.10849909584086799,0.13562386980108498,0.895117540687161,0,9.612116666666667,4,0,NA,NA,1,7.760316666666666,0,11,5,1,26.680033333333334,2,0,16031,434.8372513562387,0.17102104825202427,0.20180704910494596,24,0.650994575045208,0.16901408450704225,5,0.13562386980108498,8,8,NA,NA,14774,271.41916817359856,12500,-0.17184643510054845,256,14,9,5,7.32368896925859,0.23747980613893377,84,89,-5,3540,3265,275,5639,5222,417,4427,4557,-130
2,6,6.18,4,Blue,ADC,Uzi,Royal Never Give Up,Ezreal,Lee Sin,Jhin,Karma,36.86666666666667,1,10,2,8,22,11,NA,NA,NA,NA,1,0,7.0483,0.27124773960216997,0.054249547920433995,0.895117540687161,0,9.612116666666667,4,0,NA,NA,1,7.760316666666666,0,11,5,1,26.680033333333334,2,0,42861,1162.5949367088608,0.45724740497348965,0.2846166877757968,17,0.46112115732368897,0.11971830985915492,7,0.18987341772151897,4,5,NA,NA,18880,382.79349005424956,16683,0.1981685223005468,322,26,18,8,9.439421338155515,0.36187399030694667,69,66,3,4282,2848,1434,6040,4541,1499,3203,2665,538
2,6,6.18,5,Blue,Support,Mata,Royal Never Give Up,Nami,Lee Sin,Jhin,Karma,36.86666666666667,1,0,2,19,22,11,NA,NA,NA,NA,0,0,7.0483,0,0.054249547920433995,0.895117540687161,0,9.612116666666667,4,0,NA,NA,1,7.760316666666666,0,11,5,1,26.680033333333334,2,0,5466,148.26401446654612,0.05831208594258404,0.13668471026710444,46,1.2477396021699818,0.323943661971831,16,0.43399638336347196,14,15,NA,NA,11545,183.83327305605786,10350,0.13953488372093023,17,0,0,0,0.46112115732368897,0.01938610662358643,2,15,-13,2523,1945,578,3601,3146,455,2272,2174,98
